Interval End,kWh,kVA,PF,kW
Thu 01 Sep 2011 00:30,28.448,57.354,0.99,56.896
Thu 01 Sep 2011 01:00,26.048,52.369,0.99,52.096
Thu 01 Sep 2011 01:30,27.776,55.965,0.99,55.552
Thu 01 Sep 2011 02:00,26.864,54.064,0.99,53.728
Thu 01 Sep 2011 02:30,26.528,53.425,0.99,53.056
Thu 01 Sep 2011 03:00,26.8,53.985,0.99,53.6
Thu 01 Sep 2011 03:30,25.36,51.046,0.99,50.72
Thu 01 Sep 2011 04:00,27.76,55.993,0.99,55.52
Thu 01 Sep 2011 04:30,23.424,47.117,0.99,46.848
Thu 01 Sep 2011 05:00,28.896,58.283,0.99,57.792
Thu 01 Sep 2011 05:30,27.296,54.731,1.00,54.592
Thu 01 Sep 2011 06:00,31.552,63.605,0.99,63.104
Thu 01 Sep 2011 06:30,27.536,55.318,1.00,55.072
Thu 01 Sep 2011 07:00,30.128,60.633,0.99,60.256
Thu 01 Sep 2011 07:30,28.8,57.927,0.99,57.6
Thu 01 Sep 2011 08:00,26.24,52.758,0.99,52.48
Thu 01 Sep 2011 08:30,35.968,73.123,0.98,71.936
Thu 01 Sep 2011 09:00,48.16,97.146,0.99,96.32
Thu 01 Sep 2011 09:30,50.192,102.216,0.98,100.384
Thu 01 Sep 2011 10:00,43.424,87.511,0.99,86.848
Thu 01 Sep 2011 10:30,47.232,96.538,0.98,94.464
Thu 01 Sep 2011 11:00,49.728,101.667,0.98,99.456
Thu 01 Sep 2011 11:30,51.424,103.91,0.99,102.848
Thu 01 Sep 2011 12:00,58.768,119.58,0.98,117.536
Thu 01 Sep 2011 12:30,51.408,103.492,0.99,102.816
Thu 01 Sep 2011 13:00,54.432,110.762,0.98,108.864
Thu 01 Sep 2011 13:30,51.408,104.524,0.98,102.816
Thu 01 Sep 2011 14:00,46.704,93.881,0.99,93.408
Thu 01 Sep 2011 14:30,54.784,113.161,0.97,109.568
Thu 01 Sep 2011 15:00,48.976,99.903,0.98,97.952
Thu 01 Sep 2011 15:30,48.72,98.889,0.99,97.44
Thu 01 Sep 2011 16:00,47.216,95.689,0.99,94.432
Thu 01 Sep 2011 16:30,50.496,102.972,0.98,100.992
Thu 01 Sep 2011 17:00,48.672,98.922,0.98,97.344
Thu 01 Sep 2011 17:30,39.104,78.406,1.00,78.208
Thu 01 Sep 2011 18:00,43.568,87.898,0.99,87.136
Thu 01 Sep 2011 18:30,44.784,90.411,0.99,89.568
Thu 01 Sep 2011 19:00,40.16,80.436,1.00,80.32
Thu 01 Sep 2011 19:30,40.336,81.377,0.99,80.672
Thu 01 Sep 2011 20:00,35.904,71.932,1.00,71.808
Thu 01 Sep 2011 20:30,35.904,72.134,1.00,71.808
Thu 01 Sep 2011 21:00,37.04,74.806,0.99,74.08
Thu 01 Sep 2011 21:30,30.576,61.218,1.00,61.152
Thu 01 Sep 2011 22:00,34.32,69.286,0.99,68.64
Thu 01 Sep 2011 22:30,28.016,56.331,0.99,56.032
Thu 01 Sep 2011 23:00,29.808,60.194,0.99,59.616
Thu 01 Sep 2011 23:30,32.432,65.52,0.99,64.864
Fri 02 Sep 2011 00:00,27.616,55.401,1.00,55.232
Fri 02 Sep 2011 00:30,34.24,68.968,0.99,68.48
Fri 02 Sep 2011 01:00,27.904,56.045,1.00,55.808
Fri 02 Sep 2011 01:30,31.536,63.467,0.99,63.072
Fri 02 Sep 2011 02:00,26.464,53.154,1.00,52.928
Fri 02 Sep 2011 02:30,31.568,63.545,0.99,63.136
Fri 02 Sep 2011 03:00,27.296,54.859,1.00,54.592
Fri 02 Sep 2011 03:30,29.568,59.451,0.99,59.136
Fri 02 Sep 2011 04:00,27.36,55.05,0.99,54.72
Fri 02 Sep 2011 04:30,28.256,56.845,0.99,56.512
Fri 02 Sep 2011 05:00,28.8,57.92,0.99,57.6
